
Type_of_property,Price,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,postal code
house,€309000,5,C,289,0,0,0,171,65,2,1919,Good,0,2,0,0,2,0,Gas,8900
house,€599000,3,D,310,0,Yes,0,977,0,4,1975,Good,0,1,0,0,2,0,Gas,9270
house,€,4,C,194,0,0,0,287,40,3,1972,Just renovated,0,1,1,0,2,Installed,Gas,27
house,€489000,5,C,286,0,Yes,0,1891,0,4,0,Good,0,2,2,0,2,Installed,0,3945
house,€348000,3,Not specified,Not specified,0,0,0,276,0,3,1965,Good,0,1,1,0,1,Installed,Gas,3010
house,€,3,Not specified,Not specified,0,0,0,0,0,0,0,0,0,1,0,0,2,Not installed,0,3440
house,€389000,4,Not specified,Not specified,0,0,0,4500,0,4,0,To renovate,0,0,0,0,0,Semi equipped,Carbon,3221
house,€399000,4,Not specified,Not specified,0,Yes,0,1897,0,4,1976,Good,0,2,2,0,2,Hyper equipped,Gas,3200
house,€230000,3,G,598,0,0,38,1722,45,4,1975,0,0,1,0,0,1,0,Gas,5377
house,€225000,5,E,444,0,Yes,0,1003,0,2,1930,To renovate,0,0,0,0,2,Semi equipped,Gas,8790
house,€265000,3,Not specified,Not specified,0,Yes,0,238,0,3,0,To renovate,0,1,0,0,2,Installed,Fuel oil,8540
house,€265000,3,B,195,No,0,0,65,18,2,1937,Good,0,1,0,0,0,0,Gas,9880
house,€439000,4,D,313,0,Yes,0,829,21,4,1989,Good,0,1,0,0,2,USA installed,Gas,9450
house,€399000,3,E,380,No,0,37,1230,37,4,1988,0,0,1,1,0,2,Installed,Electric,20
house,€650000,3,B,150,No,0,38,1916,67,4,1974,0,0,2,0,0,3,Installed,0,4682
house,€795000,5,C,255,0,0,50,802,55,4,1973,As new,0,2,0,0,3,Hyper equipped,Gas,3090
house,€395000,5,C,284,0,0,40,215,62,2,1930,0,0,2,0,Yes,2,Installed,Gas,9032
house,€185000,2,E,419,0,0,0,0,20,0,0,0,0,1,0,0,1,0,0,1390
house,€155000,2,E,444,0,Yes,0,132,0,2,1949,To renovate,0,1,0,0,2,Semi equipped,Gas,8500
house,€349000,7,C,249,No,0,13,496,0,2,1936,Good,0,1,1,0,2,USA installed,Gas,4500
house,€240000,3,C,203,0,Yes,0,290,43,0,0,Good,0,1,0,0,2,Installed,Fuel oil,7170
house,€189000,2,D,333,0,0,0,90,0,0,0,Good,0,1,0,0,1,Installed,0,2300
house,€299000,5,C,214,No,Yes,0,227,0,2,1934,Just renovated,0,2,0,0,2,Installed,Gas,8540
house,€495000,3,E,483,No,0,10,840,0,4,1963,To renovate,0,1,0,0,0,Installed,Gas,2850
house,€99000,2,E,400,0,Yes,0,390,12,2,0,To renovate,0,1,1,0,1,0,0,20
house,€475000,5,B,155,No,Yes,0,453,0,3,0,Good,0,1,0,0,2,Installed,Fuel oil,8630
house,€155000,4,G,95384,No,0,10,1200,45,3,0,0,0,1,1,0,2,Installed,0,5660
house,€1149000,6,C,269,No,0,0,1647,0,0,0,Good,0,2,2,0,3,USA installed,Gas,8200
house,€145000,1,C,230,No,0,0,71,0,3,1930,Good,0,1,0,0,0,0,Gas,9060
house,€1200000,7,G,608,0,0,120,20000,0,4,1960,To be done up,0,2,3,0,0,Semi equipped,Fuel oil,7022
house,€349000,2,F,740,0,Yes,0,2610,0,4,1977,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,2275
house,€369900,3,F,853,0,0,0,746,34,4,1967,To be done up,0,0,0,0,0,0,0,2390
house,€98000,4,D,306,0,0,0,156,30,2,1800,To renovate,0,1,0,0,2,0,Fuel oil,6769
